Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Rwanda Dry Process Ngororero,East Africa,Dry Process,0.0,0.0,3.0,0.0,4.0,1.0,4.0,3.0,0.0,2.0,2.0,3.0,9.0,9.2,9.0,9.4,8.7,9.0,8.7,8.3,9.5,8.2,89.0
Rwanda Dry Process Nyamasheke Karambi,East Africa,Dry Process,0.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,0.0,3.0,2.0,4.0,8.3,8.7,8.0,8.7,9.0,8.0,8.6,7.5,9.7,8.0,84.50000000000001
Rwanda Dry Process Rusizi Nyakarenzo,East Africa,Dry Process,0.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,3.0,8.5,8.7,8.5,8.8,9.0,8.5,8.5,7.7,9.0,8.0,85.2
Rwanda Dry Process Rusizi Nyakarenzo,East Africa,Dry Process,0.0,0.0,3.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,2.0,3.0,9.0,9.1,8.7,9.2,8.7,8.9,8.7,8.5,9.3,8.2,88.3
Rwanda Honey Process Karambi,East Africa,Honey Process,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,2.0,4.0,8.7,8.8,8.5,8.8,9.2,8.6,8.7,8.0,9.0,8.2,86.5
Rwanda Honey Process Ngororero,East Africa,Honey Process,0.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,8.5,8.7,8.5,8.9,8.9,8.5,8.6,8.3,8.9,8.0,85.80000000000001
Rwanda Ibisi Bya Huye Mountain Peaberry,East Africa,Wet Process,1.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,8.7,8.8,8.7,8.9,8.5,8.9,8.6,8.2,9.0,8.5,86.8
Rwanda Karongi Gitesi,East Africa,Wet Process,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,9.0,9.0,8.9,9.1,8.5,8.8,8.8,8.7,9.0,8.0,87.8
Rwanda Kivu Kageyo,East Africa,Wet Process,0.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,8.6,8.9,8.5,8.8,8.6,8.4,8.7,8.5,8.8,8.2,86.0
Rwanda Kivu Kageyo,East Africa,Wet Process,0.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,8.6,8.9,8.6,9.0,9.0,8.7,8.9,8.5,8.9,8.0,87.1
